codigo_ies,nombre_ies,tipo_finan,tipo,base,x,y,dpa_parroq,dpa_despar,dpa_canton,dpa_descan,dpa_provin,dpa_despro,dpa_anio,txt,fcode,dpa_cab,da_dist,da_zona,longitud,latitud
1040.0,UNIVERSIDAD DE LAS AMERICAS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,781286.458821,9981397.26499,170114.0,JIPIJAPA,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.472964,-0.16814000001
1041.0,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,781484.593026,9972894.66813,170125.0,PUENGASÍ,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D04,9.0,-78.471173,-0.24499
1042.0,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,766856.045235,9856623.24215,180166.0,TOTORAS,1801.0,AMBATO,18.0,TUNGURAHUA,2023.0,PARROQUIA RURAL,HA004,,18D02,3.0,-78.601927,-1.296029
1044.0,UNIVERSIDAD DEL PACIFICO ESCUELA DE NEGOCIOS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,617043.643518,9758678.41114,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D09,8.0,-79.947459,-2.18293100002
1045.0,UNIVERSIDAD TECNOLOGICA INDOAMERICA,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,762691.972389,9859579.9613,180103.0,HUACHI CHICO,1801.0,AMBATO,18.0,TUNGURAHUA,2023.0,PARROQUIA URBANA,HA004,180150.0,18D02,3.0,-78.63935,-1.26933700004
1049.0,UNIVERSIDAD CASA GRANDE,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,620353.144891,9760370.15357,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D06,8.0,-79.917712,-2.16760700003
1050.0,UNIVERSIDAD TECNOLOGICA EMPRESARIAL DE GUAYAQUIL,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,621531.695308,9760516.00967,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D05,8.0,-79.907116,-2.16628
1051.0,UNIVERSIDAD TECNOLOGICA ISRAEL,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779133.760068,9978169.82695,170123.0,MARISCAL SUCRE,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.492287,-0.19731399999
1053.0,UNIVERSIDAD DE ESPECIALIDADES TURISTICAS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,778028.968335,9987625.59918,170106.0,COTOCOLLAO,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D03,9.0,-78.502216,-0.11184800001
1056.0,UNIVERSIDAD METROPOLITANA,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,622992.14591,9762442.54107,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D05,8.0,-79.893997,-2.14884399996
