CODIGO_IES,NOMBRE_IES,TIPO_FINAN,TIPO,BASE,X,Y,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,txt,fcode,DPA_CAB,DA_DIST,DA_ZONA,Longitud,Latitud
1030.000000,UNIVERSIDAD LAICA VICENTE ROCAFUERTE DE GUAYAQUIL,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,623388.245139,9759468.944520,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D05",8.000000,-79.89041600000,-2.17573899997
1031.000000,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,699919.616881,9559092.857410,"110104",VALLE,"1101",LOJA,"11",LOJA,"2023",PARROQUIA URBANA,HA004,"110150","11D01",7.000000,-79.19933900000,-3.98698399999
1032.000000,UNIVERSIDAD UTE,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779034.064513,9979637.105220,"170127",RUMIPAMBA,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.49318400000,-0.18405199999
1033.000000,UNIVERSIDAD DEL AZUAY,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,722217.347992,9677155.540480,"010107",HUAYNACÁPAC,"0101",CUENCA,"01",AZUAY,"2023",PARROQUIA URBANA,HA004,"010150","01D02",6.000000,-79.00081800000,-2.91906299997
1034.000000,UNIVERSIDAD POLITECNICA SALESIANA,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,723509.575578,9680704.206940,"010105",EL VECINO,"0101",CUENCA,"01",AZUAY,"2023",PARROQUIA URBANA,HA004,"010150","01D01",6.000000,-78.98925400000,-2.88695699998
1036.000000,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,780048.392960,9989929.008220,"170102",CARCELÉN,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D03",9.000000,-78.48408700000,-0.09102700000
1037.000000,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,626191.556148,9764223.974400,"091602",LA PUNTILLA (SATÉLITE),"0916",SAMBORONDÓN,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"091650","09D23",8.000000,-79.86524200000,-2.13270900004
1038.000000,UNIVERSIDAD SAN FRANCISCO DE QUITO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,785345.098787,9978198.199700,"170157",CUMBAYÁ,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA RURAL,HA004,,"17D09",9.000000,-78.43652200000,-0.19704899999
1040.000000,UNIVERSIDAD DE LAS AMERICAS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,781286.458821,9981397.264990,"170114",JIPIJAPA,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.47296400000,-0.16814000001
1041.000000,UNIVERSIDAD INTERNACIONAL DEL ECUADOR,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,781484.593026,9972894.668130,"170125",PUENGASÍ,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D04",9.000000,-78.47117300000,-0.24499000000
